task,model,reasoning,difficulty_sd,tokens,performance,exact15
Addition,deepseek__deepseek-chat-v3.1,high,5.0,10049,1.0,0
Addition,deepseek__deepseek-chat-v3.1,high,7.0,5347,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,1.0,1699,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,10.0,1888,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,5942,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,53.0,6147,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4348,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,14721,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,17.0,1639,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,5329,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,36.0,6409,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,5133,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,11304,0.4426897666132618,0
Addition,deepseek__deepseek-chat-v3.1,high,23.0,5551,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,35.0,10360,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,2149,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,7852,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,580,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,21.0,5155,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,9.0,3932,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,283,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,24.0,6557,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,4866,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,7.0,9443,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,33.0,5914,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,46.0,7116,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,4647,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,12.0,2334,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,41.0,3991,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,28.0,8958,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,8.0,5936,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,24.0,6286,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,39.0,7059,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,30.0,8357,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,13.0,7252,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,4.0,234,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,0.0,11148,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,29.0,6064,1.0,1
Addition,deepseek__deepseek-chat-v3.1,high,5.0,12168,0.8287671556112534,0
