model,reasoning,task,mean_performance
deepseek__deepseek-chat-v3.1,high,Addition,0.9701979524076771
deepseek__deepseek-chat-v3.1,high,Division,0.8417666459911298
deepseek__deepseek-chat-v3.1,high,Exponentiation,0.48600827713605416
deepseek__deepseek-chat-v3.1,high,Interval,0.998
deepseek__deepseek-chat-v3.1,high,Mean,0.9495889088995438
deepseek__deepseek-chat-v3.1,high,MinMax,0.998
deepseek__deepseek-chat-v3.1,high,Multiplication,0.8525417606391726
deepseek__deepseek-chat-v3.1,high,Sorting,0.996
deepseek__deepseek-chat-v3.1,high,Std,0.40933261867133997
deepseek__deepseek-chat-v3.1,none,Addition,0.9412818924852965
deepseek__deepseek-chat-v3.1,none,Division,0.40814295996275757
deepseek__deepseek-chat-v3.1,none,Exponentiation,0.209860597264059
deepseek__deepseek-chat-v3.1,none,Interval,0.814
deepseek__deepseek-chat-v3.1,none,Mean,0.6623828238462841
deepseek__deepseek-chat-v3.1,none,MinMax,0.998
deepseek__deepseek-chat-v3.1,none,Multiplication,0.38460586517588596
deepseek__deepseek-chat-v3.1,none,Sorting,0.996
deepseek__deepseek-chat-v3.1,none,Std,0.1549865020110713
google__gemini-2.5-flash,high,Addition,0.963884721037093
google__gemini-2.5-flash,high,Division,0.562839983668512
google__gemini-2.5-flash,high,Exponentiation,0.288918078807403
google__gemini-2.5-flash,high,Interval,1.0
google__gemini-2.5-flash,high,Mean,0.9155721412224607
google__gemini-2.5-flash,high,MinMax,1.0
google__gemini-2.5-flash,high,Multiplication,0.44878621970185006
google__gemini-2.5-flash,high,Sorting,1.0
google__gemini-2.5-flash,high,Std,0.2754688142756663
google__gemini-2.5-flash,none,Addition,0.9276511786246994
google__gemini-2.5-flash,none,Division,0.4516535104504034
google__gemini-2.5-flash,none,Exponentiation,0.2026575672104509
google__gemini-2.5-flash,none,Interval,0.992
google__gemini-2.5-flash,none,Mean,0.6755898684303909
google__gemini-2.5-flash,none,MinMax,1.0
google__gemini-2.5-flash,none,Multiplication,0.3284243165320532
google__gemini-2.5-flash,none,Sorting,0.998
google__gemini-2.5-flash,none,Std,0.13625698862282784
google__gemini-2.5-pro,high,Addition,0.9736364202439367
google__gemini-2.5-pro,high,Division,0.7481978526419412
google__gemini-2.5-pro,high,Exponentiation,0.45031020267068284
google__gemini-2.5-pro,high,Interval,1.0
google__gemini-2.5-pro,high,Mean,0.9434402728952516
google__gemini-2.5-pro,high,MinMax,1.0
google__gemini-2.5-pro,high,Multiplication,0.6429232087515525
google__gemini-2.5-pro,high,Sorting,0.998
google__gemini-2.5-pro,high,Std,0.298938035610795
google__gemini-2.5-pro,minimal,Addition,0.9956111971085911
